Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,14p,C_0402_1005Metric,126.167,-106.172,180.0,top
C2,14p,C_0402_1005Metric,123.952,-106.172,0.0,top
C3,1u,C_0402_1005Metric,99.187,-95.758,90.0,top
C4,10u,C_0805_2012Metric,101.5238,-94.996,90.0,top
C5,0.1u,C_0402_1005Metric,127.098,-95.631,180.0,top
C6,0.1u,C_0402_1005Metric,129.794,-103.064,-90.0,top
C7,0.1u,C_0402_1005Metric,121.1072,-105.5878,180.0,top
C8,0.1u,C_0402_1005Metric,118.745,-101.727,180.0,top
C9,0.1u,C_0402_1005Metric,118.7704,-97.028,180.0,top
C10,1u,C_0402_1005Metric,118.745,-100.584,180.0,top
D1,LED,LED_0603_1608Metric,102.3112,-108.204,180.0,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,91.3555,-98.679,-90.0,top
R1,5.1k,R_0402_1005Metric,99.187,-100.939,90.0,top
R2,5.1k,R_0402_1005Metric,99.822,-97.429,180.0,top
R3,10k,R_0402_1005Metric,119.4562,-107.0864,90.0,top
R4,330r,R_0402_1005Metric,102.3112,-109.728,180.0,top
R5,22r,R_0402_1005Metric,118.745,-99.314,0.0,top
R6,22r,R_0402_1005Metric,118.745,-98.171,0.0,top
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,108.9225,-102.8954,0.0,top
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,124.841,-100.584,0.0,top
Y1,X322516MLB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,124.587,-108.862,180.0,top
